miRNA,mRNA,coeff 2,coeff 7,VIP 2,Vip 7
hsa_miR_139_5p_4395400,_219032_x_at,0.2376545627,0.2290211022,1.71358,1.6984
hsa_miR_200c_4395411,_219008_at,0.2379082588,0.2271326827,1.43054,1.25788
hsa_miR_873_4395467,_219008_at,-0.2376669163,-0.2592204535,1.60858,1.63224
hsa_miR_410_4378093,_218988_at,-0.2584540754,-0.2618289456,2.0205,1.54984
hsa_miR_758_4395180,_218982_s_at,0.2347604317,0.2900483537,1.61855,1.76123
hsa_miR_200c_4395411,_218976_at,0.2098719161,0.2496636986,1.46386,1.2187
hsa_miR_139_5p_4395400,_218883_s_at,0.2098561643,0.2486023887,1.49063,1.71891
hsa_miR_363_4378090,_218883_s_at,-0.2947402989,-0.3346654845,1.9219,2.30503
hsa_miR_363_4378090,_218869_at,0.2497184223,0.3266986897,1.6779,2.33549
hsa_miR_758_4395180,_218837_s_at,0.2591507658,0.2985437782,1.7304,1.72136
hsa_miR_410_4378093,_218813_s_at,0.2312598161,0.2302721696,1.46082,1.45119
hsa_miR_363_4378090,_218750_at,0.29318036,0.3690864812,1.90347,2.08783
hsa_miR_363_4378090,_218735_s_at,0.2917526319,0.2601320766,1.9538,1.92861
hsa_miR_335_4373045,_218713_at,0.214672045,0.2006942201,1.60865,1.35328
hsa_miR_758_4395180,_218713_at,-0.2251072072,-0.2092803097,1.66032,1.40473
hsa_miR_363_4378090,_218689_at,0.2322945565,0.2813719817,1.66568,2.01807
hsa_miR_363_4378090,_218677_at,-0.3840803972,-0.3928508007,2.22604,2.28135
hsa_miR_125a_5p_4395309,_218660_at,-0.2261370894,-0.260295568,1.34205,1.75304
hsa_miR_205_4373093,_218628_at,0.2706753255,0.333323767,1.52048,1.13379
hsa_miR_363_4378090,_218628_at,0.2028735898,0.3879586546,1.21784,1.58138
hsa_miR_616_4395525,_218628_at,-0.2246448953,-0.3665247212,1.2823,1.25061
hsa_miR_363_4378090,_218624_s_at,0.2553798907,0.243130262,1.76056,1.66063
hsa_miR_410_4378093,_218624_s_at,-0.2392296962,-0.265652323,1.6378,1.86115
hsa_miR_363_4378090,_218605_at,0.274425208,0.2850771399,1.92613,2.01783
hsa_miR_205_4373093,_218603_at,-0.2474895638,-0.2679735544,1.51088,1.3283
hsa_miR_363_4378090,_218603_at,-0.2041130053,-0.3159606106,1.11328,1.43248
hsa_miR_616_4395525,_218603_at,0.2408609718,0.3281116498,1.47627,1.54211
