miRNA,mRNA,coeff 2,coeff 7,VIP 2,Vip 7
hsa_miR_758_4395180,_207654_x_at,0.2042992113,0.2090506871,1.51837,1.46601
hsa_miR_363_4378090,_207643_s_at,-0.3311784174,-0.4344071594,1.8464,2.1813
hsa_miR_139_5p_4395400,_207551_s_at,-0.2048957167,-0.2725113033,1.6661,1.9223
hsa_miR_758_4395180,_207551_s_at,-0.2142511598,-0.207410151,1.46175,1.24488
hsa_miR_363_4378090,_207414_s_at,-0.232935107,-0.2186426734,1.53898,1.49554
hsa_miR_363_4378090,_207394_at,0.2603453167,0.2320647115,1.81107,1.70284
hsa_miR_363_4378090,_207345_at,-0.2151977253,-0.3234008641,1.47601,1.51662
hsa_miR_873_4395467,_207303_at,0.2189544927,0.2708531374,1.39327,1.51307
hsa_miR_363_4378090,_207291_at,-0.3596562616,-0.3979424108,1.7784,1.96604
hsa_miR_410_4378093,_207169_x_at,0.2507285078,0.2873633326,1.49905,1.76035
hsa_miR_205_4373093,_207122_x_at,-0.2434730718,-0.2428658863,1.09425,1.09871
hsa_miR_363_4378090,_207122_x_at,-0.5140657694,-0.4841797898,2.40205,2.30009
hsa_miR_410_4378093,_207122_x_at,0.2030510357,0.2163592511,0.94477,1.12783
hsa_miR_616_4395525,_207122_x_at,0.2296898538,0.2172199765,1.04617,1.00141
hsa_miR_758_4395180,_207098_s_at,0.2396094705,0.2782469729,1.79284,1.91703
hsa_miR_363_4378090,_207088_s_at,-0.2136913154,-0.2150456484,1.34238,1.34229
hsa_miR_758_4395180,_206770_s_at,0.2293442466,0.2642463388,1.7466,1.87985
hsa_miR_205_4373093,_206722_s_at,-0.2143835481,-0.2168147625,1.46847,1.41508
hsa_miR_363_4378090,_206695_x_at,0.279087728,0.2563037113,1.76627,1.77487
hsa_miR_139_5p_4395400,_206685_at,-0.344794197,-0.3199178431,1.52014,1.40858
hsa_miR_363_4378090,_206685_at,0.4914190966,0.4507768058,2.2668,2.11606
hsa_miR_139_5p_4395400,_206659_at,-0.2628535755,-0.2647785983,1.3062,1.25033
hsa_miR_363_4378090,_206659_at,0.4931537964,0.4963329215,2.47598,2.435
hsa_miR_363_4378090,_206632_s_at,-0.2773151725,-0.2811464489,1.74423,1.64604
hsa_miR_410_4378093,_206632_s_at,0.2078038532,0.2357846652,1.2644,1.41734
hsa_miR_125a_5p_4395309,_206624_at,-0.2001026177,-0.211080585,1.46316,1.35621
hsa_miR_200c_4395411,_206624_at,0.2128367325,0.2535613377,1.2802,0.95138
hsa_miR_758_4395180,_206624_at,-0.2215156477,-0.2565024262,1.27834,1.0328
hsa_miR_758_4395180,_206550_s_at,0.248838763,0.2842017183,1.7266,1.42697
hsa_miR_410_4378093,_206456_at,-0.2350787333,-0.2166971916,1.6055,1.27871
hsa_miR_139_5p_4395400,_206279_at,-0.2210208505,-0.2257570639,1.36466,1.35612
hsa_miR_200c_4395411,_206279_at,0.2407548514,0.2637099258,1.03823,1.08426
hsa_miR_363_4378090,_206279_at,0.4399284989,0.4271861014,2.02783,1.9199
hsa_miR_758_4395180,_206279_at,-0.2625272895,-0.2984622193,1.11104,1.28805
hsa_miR_873_4395467,_206279_at,-0.2264023534,-0.2154356852,1.32841,1.26718
hsa_miR_125a_3p_4395310,_206276_at,-0.2340632725,-0.2387527367,1.4755,1.43312
hsa_miR_125a_5p_4395309,_206276_at,-0.2203340902,-0.2571775819,1.38762,1.53418
hsa_miR_363_4378090,_206276_at,-0.2979329189,-0.3075302012,1.85373,1.83647
hsa_miR_636_4395199,_206157_at,0.2082747535,0.2006981422,1.5609,1.66923
hsa_miR_125a_5p_4395309,_206125_s_at,-0.2061576464,-0.245549786,0.84068,0.97481
hsa_miR_205_4373093,_206125_s_at,-0.2697809653,-0.2562757527,1.11353,1.03218
hsa_miR_221_4373077,_206125_s_at,0.23983761,0.2494756864,1.59018,1.62498
hsa_miR_363_4378090,_206125_s_at,-0.496849209,-0.4905516535,2.20707,2.14908
hsa_miR_410_4378093,_206125_s_at,0.2436479861,0.2263631332,1.08874,1.11466
hsa_miR_616_4395525,_206125_s_at,0.288154987,0.2815842546,1.18018,1.11564
hsa_miR_616_4395525,_206109_at,0.2132859304,0.2160834937,1.38364,1.38954
hsa_miR_758_4395180,_206044_s_at,0.2297380407,0.251566546,1.76485,1.88005
hsa_miR_410_4378093,_206015_s_at,0.2631231253,0.2789298006,1.28238,1.47908
hsa_miR_873_4395467,_205880_at,0.2115979827,0.2129988792,1.47855,1.50564
hsa_miR_363_4378090,_205854_at,-0.3778078229,-0.2781988179,2.27908,1.9584
hsa_miR_363_4378090,_205769_at,-0.3366578912,-0.253698844,1.77676,1.36815
hsa_miR_636_4395199,_205730_s_at,0.2046982704,0.2119379416,1.49811,1.50946
hsa_miR_363_4378090,_205514_at,0.2767698005,0.2513014712,1.86164,1.8021
hsa_miR_205_4373093,_205490_x_at,-0.2816148836,-0.2880667705,1.32317,1.229
hsa_miR_335_4373045,_205490_x_at,0.2026697153,0.2972792484,1.30314,1.61875
hsa_miR_363_4378090,_205490_x_at,-0.3644582,-0.3966042015,1.83375,1.86246
hsa_miR_410_4378093,_205490_x_at,0.2312320898,0.2214070218,1.14326,1.1453
hsa_miR_205_4373093,_205487_s_at,-0.2585905968,-0.2573060891,1.14175,1.07654
hsa_miR_221_4373077,_205487_s_at,0.2021398622,0.216269479,1.50648,1.54057
hsa_miR_363_4378090,_205487_s_at,-0.4587881177,-0.464584619,2.17054,2.11626
hsa_miR_410_4378093,_205487_s_at,0.2627751349,0.2648825521,1.23227,1.31264
hsa_miR_616_4395525,_205487_s_at,0.2482549009,0.2491525849,1.10331,1.04365
hsa_miR_363_4378090,_205481_at,-0.2009514783,-0.2219597105,1.29603,1.32848
hsa_miR_410_4378093,_205421_at,-0.2359588463,-0.251885852,1.59211,1.19627
hsa_miR_363_4378090,_205383_s_at,0.2703730025,0.3919213372,1.98519,2.71634
hsa_miR_139_5p_4395400,_205376_at,-0.2117101959,-0.2082016623,1.4217,1.38762
hsa_miR_139_5p_4395400,_205345_at,0.2125483404,0.2357631681,1.68211,1.78525
hsa_miR_363_4378090,_205345_at,-0.2371618697,-0.2566261061,1.72747,1.88061
hsa_miR_758_4395180,_205240_at,0.2119054985,0.2394341226,1.57478,1.66951
hsa_miR_205_4373093,_205220_at,-0.2951926464,-0.2756358001,1.41344,1.29951
hsa_miR_335_4373045,_205220_at,0.2001641554,0.2884075473,1.14423,1.48486
hsa_miR_363_4378090,_205220_at,-0.2912006974,-0.3053384712,1.33112,1.39151
hsa_miR_410_4378093,_205220_at,0.2984625211,0.2680945866,1.36233,1.30701
hsa_miR_616_4395525,_205220_at,0.2599125344,0.26371446,1.27712,1.23957
hsa_miR_205_4373093,_205193_at,-0.2105431733,-0.2272172289,1.49343,1.47976
hsa_miR_363_4378090,_205147_x_at,-0.2819278847,-0.2796692936,1.73918,1.66499
hsa_miR_410_4378093,_205147_x_at,0.2397115621,0.2742787806,1.46191,1.6934
hsa_miR_205_4373093,_205142_x_at,-0.2472494637,-0.273437953,1.48915,1.37234
hsa_miR_363_4378090,_205142_x_at,-0.2324671245,-0.3164891545,1.37612,1.6324
hsa_miR_410_4378093,_205142_x_at,0.2210102611,0.2114098983,1.28749,1.17818
hsa_miR_363_4378090,_205077_s_at,0.313182485,0.2962256475,1.55152,1.71979
hsa_miR_873_4395467,_205077_s_at,-0.3493884535,-0.261992042,1.91127,1.68921
hsa_miR_363_4378090,_205064_at,-0.2262374045,-0.2353382356,1.59701,1.6864
hsa_miR_363_4378090,_205055_at,-0.2534436965,-0.2358699253,1.27719,1.24634
hsa_miR_139_5p_4395400,_205027_s_at,-0.223813544,-0.2269848689,1.89035,1.84076
hsa_miR_363_4378090,_205027_s_at,0.3004801358,0.2988634832,2.30137,2.23014
hsa_miR_125a_5p_4395309,_204970_s_at,-0.2041667491,-0.2179122941,1.62693,1.46862
hsa_miR_636_4395199,_204949_at,0.2171931186,0.2490119619,1.61041,1.64919
hsa_miR_363_4378090,_204948_s_at,-0.22568741,-0.2463008978,1.43465,1.3439
hsa_miR_628_5p_4395544,_204948_s_at,-0.2200171354,-0.2548932617,1.44858,1.35455
hsa_miR_200c_4395411,_204917_s_at,0.223688664,0.2074981412,1.33963,1.2788
hsa_miR_873_4395467,_204917_s_at,-0.2868959101,-0.30440657,1.7505,1.71614
hsa_miR_363_4378090,_204880_at,-0.3351051342,-0.4125752467,2.14871,2.50036
hsa_miR_363_4378090,_204853_at,0.2180571151,0.2557297181,1.03307,1.16925
hsa_miR_205_4373093,_204847_at,-0.216401822,-0.2334742434,1.44863,1.39923
hsa_miR_363_4378090,_204847_at,-0.2040454716,-0.2385472742,1.26217,1.37138
hsa_miR_758_4395180,_204837_at,-0.2193043363,-0.2676868352,1.57572,1.74662
hsa_miR_363_4378090,_204795_at,0.2931903409,0.2675186779,2.0953,2.02718
hsa_miR_125a_5p_4395309,_204789_at,-0.2302484846,-0.2484131207,1.6951,1.67982
hsa_miR_30c_4373060,_204789_at,-0.215449596,-0.2686785302,1.76654,1.87131
hsa_miR_363_4378090,_204788_s_at,0.3148106287,0.2572933949,2.12102,1.84477
hsa_miR_363_4378090,_204734_at,-0.2566101361,-0.3101817445,1.69507,1.94944
hsa_miR_758_4395180,_204703_at,-0.2040244883,-0.2430126508,1.34625,1.1401
hsa_miR_410_4378093,_204690_at,-0.2258239373,-0.2818946623,1.52206,1.65815
hsa_miR_205_4373093,_204647_at,-0.2054146514,-0.2025698958,1.36236,1.33048
hsa_miR_636_4395199,_204647_at,0.2086542741,0.2138979205,1.6282,1.62595
hsa_miR_873_4395467,_204622_x_at,-0.2099043405,-0.2071040974,1.56225,1.52845
hsa_miR_335_4373045,_204602_at,0.2346424187,0.2204703357,1.74002,1.91473
hsa_miR_200c_4395411,_204572_s_at,0.2156372003,0.2748078748,1.37138,1.24476
hsa_miR_758_4395180,_204572_s_at,-0.2347434622,-0.2636362826,1.35701,0.91703
hsa_miR_205_4373093,_204571_x_at,0.2077243598,0.2304266444,1.49558,1.4185
hsa_miR_200c_4395411,_204547_at,0.2024448069,0.2629694896,1.44322,1.48586
hsa_miR_873_4395467,_204503_at,-0.2036893225,-0.2009966263,1.31211,1.34092
hsa_miR_410_4378093,_204497_at,-0.2328938517,-0.2065220746,1.7472,1.60181
hsa_miR_125a_5p_4395309,_204484_at,-0.2267916587,-0.275316272,1.28728,1.59672
hsa_miR_363_4378090,_204461_x_at,-0.2643823446,-0.2729601608,1.90364,1.99283
hsa_miR_758_4395180,_204460_s_at,0.2279008281,0.2407604086,1.71632,1.76526
hsa_miR_616_4395525,_204392_at,-0.3300737403,-0.3196445162,1.58698,1.56127
hsa_miR_873_4395467,_204392_at,0.2065559779,0.2260173301,1.00681,1.08098
hsa_miR_758_4395180,_204369_at,0.2021143136,0.2319536196,1.57744,1.70093
hsa_miR_758_4395180,_204363_at,0.2434387351,0.2957083407,1.75335,1.8534
hsa_miR_363_4378090,_204352_at,0.3877058866,0.4893803184,2.06435,2.20713
hsa_miR_758_4395180,_204352_at,-0.2446522827,-0.2511199336,1.2176,1.08186
hsa_miR_363_4378090,_204340_at,0.2634612122,0.2750759609,1.83774,1.98987
hsa_miR_363_4378090,_204336_s_at,-0.4477829585,-0.4372875,2.62517,2.59505
hsa_miR_758_4395180,_204255_s_at,0.2068776065,0.2303203654,1.59631,1.68865
hsa_miR_363_4378090,_204200_s_at,-0.2365821306,-0.2760694006,1.35591,1.4738
hsa_miR_410_4378093,_204200_s_at,0.2925238276,0.3203036352,1.67049,1.77719
hsa_miR_616_4395525,_204200_s_at,0.2001687124,0.2243030265,1.30795,1.28511
hsa_miR_363_4378090,_204162_at,-0.2366773266,-0.3486409839,1.53267,1.90285
hsa_miR_758_4395180,_204162_at,0.2352860073,0.2816166903,1.4918,1.508
hsa_miR_139_5p_4395400,_204146_at,0.2435159202,0.2277838509,1.61684,1.57002
hsa_miR_363_4378090,_204146_at,-0.3123094172,-0.2869129783,1.94457,1.91127
hsa_miR_758_4395180,_204146_at,0.2104911175,0.2286783461,1.35866,1.56003
hsa_miR_125a_5p_4395309,_204119_s_at,0.2611437311,0.2921495236,1.85315,1.79176
hsa_miR_758_4395180,_204119_s_at,0.2326492758,0.2647495131,1.80281,1.43577
hsa_miR_139_5p_4395400,_204060_s_at,-0.2695748945,-0.2950099354,1.47214,1.4838
hsa_miR_197_4373102,_204060_s_at,0.2293347717,0.2238550321,0.87709,0.83143
hsa_miR_200c_4395411,_204060_s_at,0.2363866825,0.2456292014,0.88643,0.86951
hsa_miR_363_4378090,_204060_s_at,0.5020609936,0.5210576659,2.0064,1.92954
hsa_miR_758_4395180,_204060_s_at,-0.2500021263,-0.2649704228,0.88565,0.93241
hsa_miR_873_4395467,_204060_s_at,-0.2677444412,-0.2642933173,1.42762,1.34848
hsa_miR_363_4378090,_204044_at,-0.2923630307,-0.2649256887,1.60808,1.60821
hsa_miR_125a_5p_4395309,_204017_at,0.2509096621,0.2860615848,1.74679,1.83345
hsa_miR_758_4395180,_204017_at,0.2836999526,0.3609197336,1.68367,1.84758
hsa_miR_200c_4395411,_203947_at,0.2078335275,0.2158030411,1.29788,1.00073
hsa_miR_205_4373093,_203947_at,0.2346058931,0.2798650335,1.41652,1.15811
hsa_miR_139_5p_4395400,_203941_at,-0.2488535303,-0.2851615224,1.7525,1.83235
hsa_miR_363_4378090,_203941_at,0.2847584998,0.317015325,1.74918,1.85267
hsa_miR_205_4373093,_203918_at,-0.2756695276,-0.2397170467,1.42567,1.3144
hsa_miR_363_4378090,_203918_at,-0.2378991399,-0.2431990043,1.06749,1.13955
hsa_miR_616_4395525,_203918_at,0.2245465673,0.2209078097,1.24301,1.22076
hsa_miR_205_4373093,_203910_at,-0.2563883609,-0.2710568855,1.56211,1.49069
hsa_miR_363_4378090,_203837_at,-0.2886666978,-0.2766244588,1.62924,1.67324
hsa_miR_363_4378090,_203836_s_at,-0.234014826,-0.221237723,1.40001,1.42258
hsa_miR_873_4395467,_203830_at,-0.2547303821,-0.2631834981,1.55983,1.58033
hsa_miR_139_5p_4395400,_203780_at,-0.2644941125,-0.2107842692,1.33013,1.21543
hsa_miR_363_4378090,_203780_at,0.2684892563,0.206485333,1.15586,1.00103
hsa_miR_410_4378093,_203776_at,-0.2103617703,-0.2429540439,1.65338,1.86428
hsa_miR_125a_5p_4395309,_203745_at,-0.2000659183,-0.23730017,1.70667,1.75696
hsa_miR_758_4395180,_203745_at,-0.2115512517,-0.2649979221,1.5982,1.539
hsa_miR_335_4373045,_203738_at,-0.257710596,-0.2072515812,1.37968,0.9006
hsa_miR_758_4395180,_203668_at,-0.2116625306,-0.2460099642,1.42174,0.95366
hsa_miR_363_4378090,_203615_x_at,-0.5317832947,-0.5325197495,2.61602,2.58388
hsa_miR_363_4378090,_203580_s_at,-0.431440137,-0.4422285024,2.3325,2.48235
hsa_miR_363_4378090,_203579_s_at,-0.3498826402,-0.3753502349,2.13287,2.34214
hsa_miR_410_4378093,_203551_s_at,-0.2422579252,-0.2315926543,1.79537,1.59613
hsa_miR_363_4378090,_203535_at,-0.3635331843,-0.4078401939,2.13924,2.2726
hsa_miR_363_4378090,_203476_at,0.2272546534,0.232149691,1.38911,1.41152
hsa_miR_125a_5p_4395309,_203458_at,-0.2344923749,-0.259093221,1.65346,1.46815
hsa_miR_363_4378090,_203458_at,-0.2710052082,-0.4659948886,1.73903,2.01882
hsa_miR_363_4378090,_203456_at,0.314021895,0.3132685493,2.49934,2.41372
hsa_miR_758_4395180,_203440_at,-0.2075133864,-0.2611210483,1.6555,1.1571
hsa_miR_363_4378090,_203430_at,-0.2254909726,-0.2759068308,1.57013,1.73206
hsa_miR_410_4378093,_203430_at,0.2047566472,0.2224947776,1.40202,1.43861
hsa_miR_758_4395180,_203430_at,0.2263589825,0.2565837573,1.5469,1.57568
hsa_miR_410_4378093,_203409_at,-0.254559536,-0.2582483533,1.73812,1.27643
hsa_miR_758_4395180,_203397_s_at,0.2252360855,0.2438800052,1.72277,1.82896
hsa_miR_205_4373093,_203395_s_at,-0.2191601408,-0.2227802146,1.41374,1.53641
hsa_miR_335_4373045,_203395_s_at,0.2478877365,0.2070945372,1.54597,1.39769
hsa_miR_758_4395180,_203360_s_at,0.2379076115,0.2413544065,1.94467,2.17895
hsa_miR_197_4373102,_203355_s_at,0.2261241486,0.2207280075,1.12647,1.10872
hsa_miR_200c_4395411,_203355_s_at,0.205674625,0.2540336082,1.04406,1.2233
hsa_miR_363_4378090,_203355_s_at,0.4004956303,0.3704887979,1.84987,1.71634
hsa_miR_873_4395467,_203355_s_at,-0.3308090957,-0.3181868991,1.7207,1.66847
hsa_miR_200c_4395411,_203351_s_at,0.2237145226,0.2545671081,1.32156,1.16308
hsa_miR_205_4373093,_203351_s_at,0.2006214734,0.2208471224,1.20982,1.03424
hsa_miR_363_4378090,_203351_s_at,0.2487105558,0.3553604224,1.47835,1.73724
hsa_miR_410_4378093,_203346_s_at,0.2312587016,0.2624837824,1.4892,1.67174
hsa_miR_139_5p_4395400,_203345_s_at,-0.207877746,-0.2572430925,1.33235,1.29593
hsa_miR_410_4378093,_203345_s_at,0.2727596196,0.3165261122,1.71833,1.74584
hsa_miR_205_4373093,_203334_at,0.2189085656,0.2082693419,1.34111,1.35079
hsa_miR_335_4373045,_203334_at,-0.2298801292,-0.2603595866,1.59935,1.77152
hsa_miR_636_4395199,_203334_at,-0.2401779703,-0.224846658,1.77869,1.69709
hsa_miR_410_4378093,_203282_at,-0.2232343565,-0.2535809812,1.31705,1.6298
hsa_miR_758_4395180,_203266_s_at,-0.2186371309,-0.2065786407,1.62268,1.53748
hsa_miR_363_4378090,_203261_at,0.2716644119,0.3219712247,1.54852,1.50602
hsa_miR_758_4395180,_203261_at,-0.2786255647,-0.3432621606,1.47339,1.53045
hsa_miR_758_4395180,_203243_s_at,-0.2144537785,-0.2592356214,1.40128,1.20551
hsa_miR_636_4395199,_203234_at,0.2068883548,0.2287162703,1.54921,1.59431
hsa_miR_335_4373045,_203219_s_at,0.230169855,0.2067925453,1.73028,1.50525
hsa_miR_873_4395467,_203219_s_at,0.2287507314,0.2728731224,1.71519,1.91542
hsa_miR_200c_4395411,_203196_at,0.2201421731,0.2105120326,1.37488,0.92699
hsa_miR_363_4378090,_203171_s_at,0.2254027996,0.3601715605,1.562,2.27056
hsa_miR_873_4395467,_203132_at,-0.2135610635,-0.2379121408,1.55816,1.68861
hsa_miR_873_4395467,_203127_s_at,0.2404829307,0.209731955,1.68957,1.55291
hsa_miR_410_4378093,_203109_at,-0.2370317003,-0.2661436224,1.52502,1.74332
hsa_miR_616_4395525,_203109_at,-0.2159747567,-0.2157754887,1.4362,1.37971
hsa_miR_410_4378093,_203077_s_at,-0.2319864578,-0.221204286,1.68931,1.40952
hsa_miR_125a_5p_4395309,_203075_at,-0.203432108,-0.2173013086,1.44168,1.4131
hsa_miR_410_4378093,_203075_at,-0.2305032014,-0.2056203556,1.60884,1.37282
hsa_miR_758_4395180,_203075_at,-0.2165595119,-0.2429984652,1.57131,1.6966
hsa_miR_363_4378090,_203073_at,0.3410200728,0.2489325737,2.20602,1.75481
hsa_miR_335_4373045,_203072_at,0.2001882016,0.2758922301,1.46971,1.39133
hsa_miR_410_4378093,_203072_at,-0.2170633596,0.2115908771,1.53195,1.04931
hsa_miR_363_4378090,_203066_at,0.3897942438,0.472047239,2.38928,2.59693
hsa_miR_363_4378090,_203038_at,-0.3998998255,-0.3965496136,1.90627,1.86241
hsa_miR_125a_3p_4395310,_203021_at,-0.2244954464,-0.2251745702,1.38815,1.37985
hsa_miR_363_4378090,_203021_at,-0.3249108507,-0.3265452339,1.93773,1.93656
hsa_miR_363_4378090,_202994_s_at,-0.248207335,-0.2230964305,1.7666,1.67542
hsa_miR_410_4378093,_202968_s_at,0.2117848928,0.2431166193,1.40843,1.52289
hsa_miR_200c_4395411,_202967_at,0.2442865173,0.2464140647,1.04926,0.97677
hsa_miR_363_4378090,_202967_at,0.4885746424,0.5841374463,2.10687,2.12817
hsa_miR_873_4395467,_202967_at,-0.2612134443,-0.277820527,1.45051,1.3357
hsa_miR_363_4378090,_202949_s_at,-0.3463661224,-0.2443074418,2.10068,1.7061
hsa_miR_758_4395180,_202932_at,0.2279224256,0.2540627484,1.67753,1.71131
hsa_miR_410_4378093,_202926_at,-0.2586979187,-0.2289832185,1.71862,1.39107
hsa_miR_363_4378090,_202908_at,-0.2255678044,-0.2024701405,1.17985,1.13579
hsa_miR_363_4378090,_202889_x_at,-0.2356674645,-0.2099532321,1.71516,1.56852
hsa_miR_139_5p_4395400,_202853_s_at,-0.237325809,-0.2343824541,1.65134,1.61123
hsa_miR_410_4378093,_202831_at,-0.2292255028,0.3553283343,1.55519,1.84498
hsa_miR_125a_5p_4395309,_202814_s_at,-0.2016423236,-0.2130645823,1.56733,1.54297
hsa_miR_758_4395180,_202814_s_at,-0.2074399775,-0.2222035632,1.46475,1.23525
hsa_miR_758_4395180,_202791_s_at,0.2485897544,0.2735399649,1.85139,1.95249
hsa_miR_758_4395180,_202790_at,0.2008236375,0.227621889,1.59067,1.71586
hsa_miR_125a_5p_4395309,_202760_s_at,0.2056918944,0.2193788737,1.58903,1.68071
hsa_miR_363_4378090,_202758_s_at,-0.2835457954,-0.2831628186,1.38787,1.53685
hsa_miR_873_4395467,_202758_s_at,0.3607549675,0.2960360261,1.90493,1.66062
hsa_miR_363_4378090,_202743_at,-0.229381825,-0.3190477446,1.33528,1.68394
hsa_miR_197_4373102,_202680_at,0.2066766319,0.2026228118,1.32781,1.26471
hsa_miR_758_4395180,_202680_at,-0.2030016415,-0.231433354,0.95548,1.03544
hsa_miR_363_4378090,_202656_s_at,0.374362249,0.2264993199,1.87386,1.4152
hsa_miR_758_4395180,_202656_s_at,-0.2035860099,-0.2682675494,1.07697,1.68878
hsa_miR_363_4378090,_202595_s_at,0.3042460282,0.4941207218,1.86222,2.49924
hsa_miR_363_4378090,_202594_at,0.2381682806,0.4457200183,1.70816,2.29483
hsa_miR_758_4395180,_202594_at,-0.2400404793,-0.2044471868,1.99091,1.05274
hsa_miR_335_4373045,_202564_x_at,0.2801222705,0.3021303158,1.96892,1.76789
hsa_miR_141_4373137,_202561_at,0.2418523184,0.2219693551,1.26305,0.98796
hsa_miR_197_4373102,_202561_at,0.2098473356,0.2361338901,1.13195,1.02166
hsa_miR_200c_4395411,_202561_at,0.2544182242,0.2487143865,1.30948,1.06071
hsa_miR_363_4378090,_202561_at,0.2742238128,0.4241631019,1.43918,1.90363
hsa_miR_873_4395467,_202561_at,-0.2935950543,-0.3638688175,1.75763,1.86255
hsa_miR_363_4378090,_202550_s_at,-0.2606467805,-0.2788097149,1.6698,1.70467
hsa_miR_335_4373045,_202546_at,-0.2246885459,-0.2010185257,1.54793,1.43108
hsa_miR_125a_3p_4395310,_202540_s_at,-0.3386026659,-0.2747989009,1.87633,1.84329
hsa_miR_125a_3p_4395310,_202539_s_at,-0.2008429842,-0.245405064,1.49238,1.6042
hsa_miR_363_4378090,_202539_s_at,-0.2044030503,-0.2389313172,1.52401,1.57322
hsa_miR_873_4395467,_202520_s_at,0.2082171267,0.2867296969,1.56115,1.92103
hsa_miR_139_5p_4395400,_202515_at,-0.2137951284,-0.2093497123,1.36501,1.27069
hsa_miR_205_4373093,_202515_at,-0.2351332673,-0.2323973648,1.53813,1.44033
hsa_miR_200c_4395411,_202505_at,0.2439604859,0.2185061936,1.13745,0.83772
hsa_miR_363_4378090,_202505_at,0.4023987941,0.581785441,2.01344,2.25981
hsa_miR_125a_5p_4395309,_202504_at,-0.2111216639,-0.2451544849,1.1058,1.25517
hsa_miR_363_4378090,_202504_at,-0.4564622449,-0.4622068342,2.39994,2.39752
hsa_miR_616_4395525,_202504_at,0.2090894402,0.207303224,1.16923,1.11425
hsa_miR_125a_3p_4395310,_202487_s_at,-0.2653947464,-0.2293138734,1.43109,1.37042
hsa_miR_410_4378093,_202487_s_at,-0.3050320254,-0.3696913247,1.58847,2.08573
hsa_miR_363_4378090,_202466_at,-0.3027515125,-0.3851848561,1.94551,2.315
hsa_miR_410_4378093,_202464_s_at,-0.2762684262,-0.2051230968,2.18562,1.32716
hsa_miR_410_4378093,_202401_s_at,0.2037561721,0.2379294989,1.458,1.60553
hsa_miR_335_4373045,_202399_s_at,0.2310396881,0.2385351282,1.52226,1.23694
hsa_miR_873_4395467,_202399_s_at,0.2066037287,0.3395524169,1.36855,1.7227
hsa_miR_410_4378093,_202391_at,-0.3052628482,-0.3580421924,2.10918,2.17695
hsa_miR_139_5p_4395400,_202365_at,-0.3034478459,-0.3339421606,1.6024,1.54255
hsa_miR_363_4378090,_202365_at,0.3943194412,0.4205124768,1.70983,1.64551
hsa_miR_758_4395180,_202365_at,-0.2741907257,-0.3009303774,1.12043,1.14654
hsa_miR_363_4378090,_202342_s_at,0.4165526762,0.4502282203,2.10923,2.05993
hsa_miR_636_4395199,_202342_s_at,-0.2081544421,-0.2319274998,1.03835,0.9674
hsa_miR_873_4395467,_202342_s_at,-0.2590879401,-0.3235374969,1.2365,1.33274
hsa_miR_410_4378093,_202303_x_at,0.2169591055,0.2101632438,1.41661,1.14611
hsa_miR_363_4378090,_202295_s_at,-0.2268730343,-0.2128243715,1.51262,1.48518
hsa_miR_410_4378093,_202289_s_at,-0.2347688845,-0.201101247,1.69868,1.46786
hsa_miR_758_4395180,_202289_s_at,-0.2017266958,-0.2294119665,1.48434,1.64588
hsa_miR_363_4378090,_202271_at,0.4206957499,0.3590009198,1.93632,1.76787
hsa_miR_873_4395467,_202271_at,-0.2780519046,-0.2935491618,1.32432,1.44938
hsa_miR_139_5p_4395400,_202241_at,-0.204983697,-0.2009164379,1.35044,1.28804
hsa_miR_410_4378093,_202241_at,0.2129475265,0.2545994241,1.29465,1.59531
hsa_miR_410_4378093,_202238_s_at,-0.2586564486,-0.2314211572,1.9864,2.01383
hsa_miR_410_4378093,_202237_at,-0.2644638674,-0.3156666432,2.08551,2.08061
hsa_miR_125a_5p_4395309,_202211_at,0.2436414476,0.2236268847,1.57015,1.43733
hsa_miR_363_4378090,_202211_at,0.312396732,0.3505827754,1.74298,1.72062
hsa_miR_363_4378090,_202203_s_at,-0.3639408981,-0.3974050435,2.46836,2.40521
hsa_miR_758_4395180,_202195_s_at,0.256109448,0.2724689305,2.1412,2.46088
hsa_miR_410_4378093,_202194_at,0.2096779713,0.2188678356,1.45983,1.39109
hsa_miR_758_4395180,_202194_at,0.2180289083,0.2392070782,1.53249,1.48761
hsa_miR_363_4378090,_202179_at,-0.2454086902,-0.2250779922,1.23027,1.21144
hsa_miR_363_4378090,_202150_s_at,0.2449983309,0.5129104239,1.36395,2.43252
hsa_miR_363_4378090,_202149_at,0.2028693658,0.4804628772,1.37811,2.64908
hsa_miR_363_4378090,_202135_s_at,0.290784392,0.2940035026,2.23557,2.19107
hsa_miR_758_4395180,_202133_at,-0.2189079926,-0.2635559218,1.44377,1.3955
hsa_miR_363_4378090,_202105_at,0.33538485,0.3836274106,2.15572,2.26738
hsa_miR_758_4395180,_202105_at,-0.2219198024,-0.231178471,1.36159,1.31766
hsa_miR_363_4378090,_202054_s_at,-0.2222464748,-0.4117448678,1.44996,2.55064
hsa_miR_205_4373093,_202012_s_at,-0.2389915766,-0.2190052293,1.2889,1.29076
hsa_miR_335_4373045,_202012_s_at,0.2560369761,0.2775542999,1.61469,1.7845
hsa_miR_363_4378090,_202012_s_at,-0.2464500438,-0.2257171739,1.39669,1.36949
hsa_miR_873_4395467,_202012_s_at,0.2410530004,0.2025038816,1.52911,1.3797
hsa_miR_636_4395199,_202001_s_at,0.2174317028,0.2856884233,1.53239,1.78918
